Azzurro - Remastered	Adriano Celentano	Azzurro (2011 Remaster)
R.I.P. - Requiescant in Pace	Banco Del Mutuo Soccorso	Banco del Mutuo Soccorso
Il giardino del mago	Banco Del Mutuo Soccorso	Banco del Mutuo Soccorso
Sad Song	Lou Reed	Berlin
Paolo, Pa	Banco Del Mutuo Soccorso	I Più Grandi Successi
L'Emozione Non Ha voce (Io Non So Parlar D'Amore)	Adriano Celentano	Io Non So Parlar D'Amore
Non mi rompete	Banco Del Mutuo Soccorso	Io Sono Nato Libero
La mia banda suona il rock	Ivano Fossati	La Mia Banda Suona Il Rock
Take Me Out	Scissor Sisters	Mary
Welcome to Miami (South Beach)	Max Pezzali	Welcome to Miami (South Beach)
There Goes My Miracle	Bruce Springsteen	Western Stars
bad guy (with Justin Bieber)	Billie Eilish, Justin Bieber	bad guy (with Justin Bieber)
Addio a Napoli / Ma come fanno i marinai	Francesco De Gregori, Lucio Dalla	Banana Republic
Piano Sonata No.14 In C Sharp Minor, Op.27 No.2 -"Moonlight": 1. Adagio sostenuto	Ludwig van Beethoven, Daniel Barenboim	Beethoven: Piano Sonatas Nos.8 "Moonlight
Piano Sonata No.8 In C Minor, Op.13 -"Pathétique": 1. Grave - Allegro di molto e con brio	Ludwig van Beethoven, Daniel Barenboim	Beethoven: The Piano Sonatas
Piano Sonata No.8 In C Minor, Op.13 -"Pathétique": 3. Rondo (Allegro)	Ludwig van Beethoven, Daniel Barenboim	Beethoven: The Piano Sonatas
Freed From Desire	Gala	Come Into My Life (The Album)
Lemon Tree	Fools Garden	Dish Of The Day
Jesahel	Delirium	DOLCE ACQUA
Il testamento	Fabrizio De André	Fabrizio De André Opere Complete
Mi Mandi Rose - 2001 Remaster	Mina	Finalmente ho conosciuto il Conte Dracula... (2001 Remastered Version)
Angie	The Rolling Stones	Goats Head Soup (Remastered 2009)
Man in the Mirror	Michael Jackson	HIStory - PAST, PRESENT AND FUTURE - BOOK I
La donna cannone	Francesco De Gregori	La Donna Cannone
Tommaso	Fulminacci	La Vita Veramente
Whitsand Bay	Metronomy	Metronomy Forever
Insecurity	Metronomy	Metronomy Forever
Norman fucking Rockwell	Lana Del Rey	Norman Fucking Rockwell!
Fuck it I love you	Lana Del Rey	Norman Fucking Rockwell!
Doin' Time	Lana Del Rey	Norman Fucking Rockwell!
Pigro	Ivan Graziani	Pigro
Message In A Bottle	The Police	Reggatta De Blanc (Remastered 2003)
Cupido	Dolcenera, The André	Regina Elisabibbi
Volta la carta	Fabrizio De André	Rimini
Ritratti	Pocaroba	Ritratti
X Colpa Di Chi?	Zucchero	SpiritoDiVino
September Second - Live	Michel Petrucciani, Steve Gadd, Anthony Jackson	Trio in Tokyo (Live)
Cantabile - Live	Michel Petrucciani, Steve Gadd, Anthony Jackson	Trio in Tokyo (Live)
Splendida giornata	Vasco Rossi	Vado al massimo (Remastered)
La cattiva strada	Fabrizio De André	Volume 8
Piano Sonata No.8 In C Minor, Op.13 -"Pathétique": 2. Adagio cantabile	Ludwig van Beethoven, Daniel Barenboim	Beethoven: The Piano Sonatas
Tropicana	Gruppo Italiano	Gruppo Italiano
Lugano addio	Ivan Graziani	I Lupi
Vento nel vento	Lucio Battisti	Il mio canto libero
Io vorrei... non vorrei... ma se vuoi	Lucio Battisti	Il mio canto libero
Il mio canto libero	Lucio Battisti	Il mio canto libero
La collina dei ciliegi	Lucio Battisti	Il nostro caro angelo
Ain't No Sunshine	Bill Withers	Just As I Am
29 settembre	Lucio Battisti	Lucio Battisti
Per una lira	Lucio Battisti	Lucio Battisti
Io vivrò senza te	Lucio Battisti	Lucio Battisti Vol. 4
Have You Ever Seen The Rain	Creedence Clearwater Revival	Pendulum (40th Anniversary Edition)
Needles and Pins - 2002 Remaster	Ramones	Road to Ruin (Expanded 2005 Remaster)
Lean on Me	Bill Withers	Still Bill
Innocenti evasioni	Lucio Battisti	Umanamente uomo: il sogno
Comunque bella	Lucio Battisti	Umanamente uomo: il sogno
Ain't No Mountain High Enough	Marvin Gaye, Tammi Terrell	United
Dance Me to the End of Love	Leonard Cohen	Various Positions
L'appuntamento	Ornella Vanoni	Del Mio Meglio
Звезда	Viktor Tsoi	Чёрный альбом
Ai, Dolors	Manel	Els Millors Professors Europeus
A Love Supreme, Pt. III - Pursuance	John Coltrane	A Love Supreme
A Love Supreme, Pt. IV - Psalm	John Coltrane	A Love Supreme
A Love Supreme, Pt. II - Resolution	John Coltrane	A Love Supreme
A Love Supreme, Pt. I – Acknowledgement	John Coltrane	A Love Supreme
Rockstar	Nickelback	All the Right Reasons (Walmart Exclusive Edition)
Old Town Road (feat. Billy Ray Cyrus) - Remix	Lil Nas X, Billy Ray Cyrus	Old Town Road
Across the Universe	Fiona Apple	Pleasantville -Music From The Motion Picture
Baba O'Riley	The Who	Who's Next
That Look You Give That Guy	Eels	Hombre Lobo
Eleanor Put Your Boots On	Franz Ferdinand	You Could Have It So Much Better
Severed Crossed Fingers	St. Vincent	St. Vincent
The Joke	Brandi Carlile	By The Way, I Forgive You
Never Gonna Give You Up	Rick Astley	Whenever You Need Somebody
Violin Concerto in D Major, Op. 61: 1. Allegro ma non troppo	Ludwig van Beethoven, Fritz Kreisler, Anne-Sophie Mutter, Berliner Philharmoniker, Herbert von Karajan	Beethoven: Violin Concerto
I'm on My Way	The Proclaimers	Sunshine On Leith
Jolene	Dolly Parton	Jolene
9 to 5	Dolly Parton	9 To 5 And Odd Jobs
Albachiara	Vasco Rossi	Albachiara
Donne	Zucchero, The Randy Jackson Band	Zucchero & The Randy Jackson Band
Ahi Maria	Rino Gaetano	Resta Vile Maschio, Dove Vai
Sono Il Tuo Sogno Eretico	Caparezza	Il Sogno Eretico
Sapore di sale	Gino Paoli	Basta Chiudere Gli Occhi
Languida	Paolo Conte	Aguaplano
Hesitation	Paolo Conte	Aguaplano
Blue Haways	Paolo Conte	Paris Milonga
Luna Di Marmellata	Paolo Conte	Wonderful
Alle prese con una verde milonga	Paolo Conte	Paris Milonga
Dopo le sei	Paolo Conte	Aguaplano
Hell's Ditch	The Pogues	Hell's Ditch (Expanded)
Alexander Platz	Milva	Noi donne 2
You Showed Me - Remastered	The Turtles	The Battle of the Bands (Deluxe Version)
Mother Of Pearl - Remastered	Roxy Music	The Best Of Roxy Music
Tajabone	Ismaël Lô	Ismael Lo
Summer in Siam	The Pogues	Hell's Ditch (Expanded)
All Along the Watchtower	Jimi Hendrix	Electric Ladyland
Like a Rolling Stone - Live at LA Forum, Inglewood, CA - February 1974	Bob Dylan	Before The Flood
All Along the Watchtower - Live at LA Forum, Inglewood, CA - February 1974	Bob Dylan	Before The Flood
It Ain't Me, Babe - Live at LA Forum, Inglewood, CA - February 1974	Bob Dylan	Before The Flood
Lay, Lady, Lay - Live at LA Forum, Inglewood, CA - February 1974	Bob Dylan	Before The Flood
All Along the Watchtower	Bob Dylan	John Wesley Harding
Elisir	Paolo Conte	Zazzarazàz - Uno Spettacolo D'arte Varia (Deluxe)
Via con me	Paolo Conte	Paris Milonga
Redondo Beach	Patti Smith	Horses (Legacy Edition)
Amsterdam	Scott Walker	Scott
A far l'amore comincia tu	Raffaella Carrà	I Miei Successi
Senza fine	Gino Paoli	Gino Paoli
Non l'hai mica capito	Vasco Rossi	Best of Vasco Rossi
Prima di andare via	Neffa	I Molteplici Mondi Di Giovanni, Il Cantante Neffa
La Mia Parte Intollerante	Caparezza	Habemus Capa
Rumore	Raffaella Carrà	I Miei Successi
A far l'amore comincia tu - Remix	Lilian	Summer Hits 2012
Roadrunner	The Modern Lovers	The Modern Lovers
L'ultima luna	Lucio Dalla	Lucio Dalla
Peaches En Regalia	Frank Zappa	Hot Rats
Tiwàyyen	Tinariwen, Kurt Vile, Matt Sweeney	Elwan
Sastanàqqàm	Tinariwen	Elwan
Nànnuflày	Tinariwen, Kurt Vile, Mark Lanegan	Elwan
Toumast Tincha	Tinariwen	Emmaar
Pomeriggio Zenzero	Paolo Conte	Amazing Game - Instrumental Music
La Musica E' Pagana	Paolo Conte	The Platinum Collection
La fisarmonica di stradella	Paolo Conte	Paolo Conte
Chiunque	Paolo Conte	Paolo Conte
Per Te	Paolo Conte	Zazzarazàz - Uno Spettacolo D'arte Varia (Deluxe)
Avanti, Bionda	Paolo Conte	Paolo Conte
Don't Worry About the Government - 2005 Remaster	Talking Heads	Talking Heads '77 (Deluxe Version)
Uh-Oh, Love Comes to Town - 2005 Remaster	Talking Heads	Talking Heads '77 (Deluxe Version)
I'm Not in Love	Fun Lovin' Criminals	Mimosa
The Infanta	The Decemberists	Picaresque
Porpoise Song (Theme from "Head")	The Monkees	Head
Lo zio	Paolo Conte	Appunti Di Viaggio
Hemingway - Live 12 Aprile 1988	Paolo Conte	Concerto live @ rsi (12 aprile 1988)
Hemingway - Live	Paolo Conte	Concerti (Live)
Nord	Paolo Conte	Appunti Di Viaggio
La Frase	Paolo Conte	Appunti Di Viaggio
Dancing	Paolo Conte	Appunti Di Viaggio
Gioco d'azzardo	Paolo Conte	Appunti Di Viaggio
Fuga all'inglese	Paolo Conte	Appunti Di Viaggio
Hemingway	Paolo Conte	Appunti Di Viaggio
Tubthumping	Chumbawamba	Tubthumper
Rolls Royce (feat. Boss Doms & Frenetik&Orang3)	Achille Lauro, Boss Doms, Frenetik&Orang3	Rolls Royce (feat. Boss Doms & Frenetik&Orang3)
Roses Are Red (My Love) - Single Version	Bobby Vinton	The Best Of Bobby Vinton
Aristocratica - 1991 Remaster	Matia Bazar	Aristocratica (1991 Remaster)
Lili Marleen - 1991 Remaster	Matia Bazar	...Berlino ...Parigi ...Londra (1991 Remaster)
Sallimleh Alayh	Fairuz	Mish Kayan Hayek T'Koun
Le Beirut	Fairuz	Maarifti Feek
Nassam Alayna El Hawa	Fairuz	Bent El Hares
Kifak Inta	Fairuz	Fairuz - Modern Favorites
أهواك	Abdel Halim Hafez	عبدالحليم حافظ
Le Bien Et Le Mal	Souad Massi	Deb
Raoui	Souad Massi	Raoui
Ghir Enta	Souad Massi	Deb
El Seka Shemal Fe Shemal	Cairokee	Noaata Beida
Dinosaur	Cairokee	Dinosaur
Portati via	Mina	Bula Bula
I'm Not Down - Remastered	The Clash	London Calling (Remastered)
The Card Cheat - Remastered	The Clash	London Calling (Remastered)
London Calling - Remastered	The Clash	London Calling (Remastered)
Spanish Bombs - Remastered	The Clash	London Calling (Remastered)
MILANO SUSHI & COCA	M¥SS KETA	L'ANGELO DALL'OCCHIALE DA SERA: COL CUORE IN GOLA
LE RAGAZZE DI PORTA VENEZIA REMIX (feat. Elodie, Priestess & Joan Thiele)	M¥SS KETA, Elodie, Priestess, Joan Thiele	PAPRIKA
Speed of Life - 2017 Remaster	David Bowie	Low (2017 Remastered Version)
Joe's Garage	Frank Zappa	Joe's Garage Acts I, II & III
Little Red Rooster	Howlin' Wolf	Howlin' Wolf
Spoonful	Howlin' Wolf	Howlin' Wolf
Smokestack Lightnin'	Howlin' Wolf	Moanin' In The Moonlight
Regiment - 2006 Digital Remaster	Brian Eno, David Byrne	My Life In The Bush Of Ghosts
This Land is Your Land	Woody Guthrie	The Asch Recordings, Vol. 1-4
Closing Time	Leonard Cohen	The Future
Famous Blue Raincoat	Leonard Cohen	Songs Of Love And Hate
Hallelujah	Leonard Cohen	Various Positions
Suzanne	Leonard Cohen	Songs Of Leonard Cohen
Hurricane	Bob Dylan	Desire
Knockin' On Heaven's Door - Remastered	Bob Dylan	Pat Garrett & Billy The Kid [Soundtrack From The Motion Picture) (Remastered]
Hello, I Love You	The Doors	Waiting for the Sun
Misirlou	Dick Dale and his Del-Tones	Greatest Hits 1961 - 1976
Country Honk	The Rolling Stones	Let It Bleed
Love In Vain	The Rolling Stones	Let It Bleed
You Can't Always Get What You Want	The Rolling Stones	Let It Bleed
You Got The Silver	The Rolling Stones	Let It Bleed
Let It Bleed	The Rolling Stones	Let It Bleed
Gimme Shelter	The Rolling Stones	Let It Bleed
All Day and All of the Night	The Kinks	Kinks (Deluxe Edition)
Caroline	The Velvet Underground	Squeeze
Satellite Of Love - 2015 Remastered Demo Version	The Velvet Underground	Loaded: Re-Loaded 45th Anniversary Edition
All Tomorrow's Parties	The Velvet Underground, Nico	The Velvet Underground & Nico 45th Anniversary
There She Goes Again	The Velvet Underground, Nico	The Velvet Underground & Nico 45th Anniversary
Venus In Furs	The Velvet Underground, Nico	The Velvet Underground & Nico 45th Anniversary (Super Deluxe Edition)
Stephanie Says - Original Mix	The Velvet Underground	White Light / White Heat (Super Deluxe)
Oh! Sweet Nuthin' - 2015 Remastered	The Velvet Underground	Loaded: Re-Loaded 45th Anniversary Edition
VCR	The xx	xx
Rock the Casbah - Remastered	The Clash	Combat Rock (Remastered)
Sexy Boy	Air	Moon Safari
All I Need (feat. Beth Hirsch)	Air, Beth Hirsch	Moon Safari
Do You Remember The First Time?	Pulp	His N Hers
Babies	Pulp	His N Hers
Olsen olsen	Sigur Rós	Ágætis byrjun
Ágaetis byrjun	Sigur Rós	Ágætis byrjun
Jóga	Björk	Jóga
Army Of Me	Björk	Post
The Anchor Song	Björk	Debut
Violently Happy	Björk	Debut
Big Time Sensuality	Björk	Debut
Venus As A Boy	Björk	Debut
Twentieth Century Fox - 2017 Remaster	The Doors	The Doors (50th Anniversary Deluxe Edition)
Break on Through (To the Other Side) - 2017 Remaster	The Doors	The Doors (50th Anniversary Deluxe Edition)
E penso a te - Remastered	Mina	Paradiso (Lucio Battisti Songbook)
La chanson de Prévert	Serge Gainsbourg	L'étonnant Serge Gainsbourg
Buonanotte Fiorellino	Inti-Illimani	Viva Italia
Cinema Paradiso "Tema D'amore","Inti-Illimani	Viva Italia	1
El Pueblo Unido Jamás Será Vencido	Inti-Illimani	Viva Italia
Patio Song	Gorky's Zygotic Mynci	Barafundle
It's My Life - 1997 Remaster	Talk Talk	It's My Life
Lover Come Back to Me - 2003 Remastered Version	Billie Holiday	Blue Moon
Lover, Come Back To Me	Billie Holiday	The Complete Verve Studio Master Takes
bad guy	Billie Eilish	WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?
bury a friend	Billie Eilish	WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?
wish you were gay	Billie Eilish	WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?
Sonata in F Minor, K. 466 (L. 118)	Domenico Scarlatti, Vladimir Horowitz	Horowitz: The Celebrated Scarlatti Recordings - Expanded Edition
Suite bergamasque, L.75: 3. Clair de lune	Claude Debussy, Alexis Weissenberg	Debussy: Clair de Lune; Piano Works
Crystalised	The xx	xx
On Hold	The xx	I See You
Angels	The xx	Coexist
I'm On Fire	Bruce Springsteen	Born In The U.S.A.
Dream Baby Dream	Bruce Springsteen	High Hopes
Piano Sonata No.7 In C, K.309: 1. Allegro con spirito	Wolfgang Amadeus Mozart, Maria João Pires	Mozart: Piano Sonatas K.309, K.332 & K.570
Piano Sonata No. 2 in A Major, Op. 2 No. 2: I. Allegro vivace	Ludwig van Beethoven, Glenn Gould	Glenn Gould plays Beethoven: Piano Sonatas Nos. 1-3; 5-10; 12-14; 15-18; 23; 30-32
Les Moulins De Mon Coeur	Michel Legrand	A Jazz Romance: A Night In With Verve
Todos Repiten Lo Mismo	José Antonio Labordeta	Cantar I Callar
Breathe	The Prodigy	The Fat of the Land - Expanded Edition
Vento nel vento	Mina	Paradiso (Lucio Battisti Songbook)
Bobby Brown Goes Down	Frank Zappa	ZAPPAtite - Frank Zappa's Tastiest Tracks
Genova per noi (feat. Mark Harris, Roberto Colombo)	Antonella Ruggiero, Mark Harris, Roberto Colombo	Quando facevo la cantante
Canzone dell’amore perduto (feat. Francesco Buzzurro, Giuseppe Milici)	Antonella Ruggiero, Libera Sinfonietta, Francesco Buzzurro, Giuseppe Milici	Quando facevo la cantante
Crêuza de mä (feat. Mark Harris,Balentes)	Antonella Ruggiero, Mark Harris, Balentes	Quando facevo la cantante
Lunedì cinema	Stadio	12000 lune
Stasera... Che Sera! - 1991 - Remaster;	Matia Bazar	Matia Bazar 1 (1991 Remaster)
Tango Nel Fango - 1991 Remaster	Matia Bazar	Tango (1991 - Remaster)
Palestina - 1991 Remaster	Matia Bazar	Tango (1991 - Remaster)
Tu O La Sencillez - Remastered	Matia Bazar	Fantasia: Best & Rarities
C'è Tutto Un Mondo Intorno - Remastered	Matia Bazar	Fantasia: Best & Rarities
Per Un'Ora D'Amore - 1991 - Remaster;	Matia Bazar	Matia Bazar 1 (1991 Remaster)
Vacanze Romane - Remaster 1998	Matia Bazar	Collezione Italiana
Brivido Caldo - Live	Matia Bazar	Matia Bazar 40th Anniversary Celebration (Live)
Tu Semplicità - 2007 Remaster	Matia Bazar	Essential (1998 Remaster)
Replica	Oneohtrix Point Never	Replica
Cherry Soda	Stereo Cube	A Scoob Odyssey
voice of reason	underscores	skin purifying treatment
Noi - Remaster 1998	Matia Bazar	The Platinum Collection
E Dirsi Ciao - 1998 Remaster	Matia Bazar	Essential (1998 Remaster)
Sólo Tú - Remastered	Matia Bazar	Fantasia: Best & Rarities
Coccodrilli	Samuele Bersani	Samuele Bersani
Tints (feat. Kendrick Lamar)	Anderson .Paak, Kendrick Lamar	Oxnard
Casio	Jungle	For Ever
Annarella	CCCP – Fedeli Alla Linea	Enjoy CCCP (2008 Remastered Edition)
Io Sto Bene	CCCP – Fedeli Alla Linea	Affinità - Divergenze Fra Il Compagno Togliatti E Noi Del Conseguimento Della Maggiore Età (2008 Remastered Edition)
Giulia Mon Amour	Calibro 35	Traditori di Tutti
Bandits on Mars	Calibro 35	S.P.A.C.E.
Indagine Su Un Cittadino Al Di Sopra Di Ogni Sospetto	Calibro 35	Calibro 35
You Don't Have To Say You Love Me - The Afternoon Show, 2012 Mix	Elvis Presley	Prince From Another Planet (Live)
You Don't Have To Say You Love Me	Dusty Springfield	Complete A And B Sides 1963 - 1970
Io Che Non Vivo - 2004 Remaster	Pino Donaggio	Made In Italy
Tender	Blur	13
All That Jazz	Chicago Ensemble (1997)	Chicago The Musical (New Broadway Cast Recording (1997))
All That Jazz	Ute Lemper, Chicago Ensemble (London (1997))	Chicago The Musical (New London Cast Recording (1997))
Préludes, Book 2, L. 123: No. 7: La terrasse des audiences du clair de lune	Claude Debussy, Jean-Efflam Bavouzet	Debussy, C.: Piano Music (Complete), Vol. 1 - Preludes / Les Soirs Illumines Par L'Ardeur Du Charbon
Perfect Day	Harry Nilsson	The Essential Nilsson
Gling Glo	Björk Guðmundsdóttir, Trio Gudmundar Ingólfssonar	Gling-Glo
Dress Up In You	God Help The Girl	God Help The Girl (Original Motion Picture Soundtrack)
Who's Sorry Now	Connie Francis	Gold
Everything Old Is New Again - Live/1977	Peter Allen	It Is Time For Peter Allen (Live)
Feeling Of Jazz	Dianne Reeves, Wynton Marsalis	Magic Hour
After You've Gone	Wynton Marsalis	The Midnight Blues Standard Time Vol. 5
Pack up Your Troubles - 1916	Murray Johnson	Oh! It's A Lovely War (Vol. 1)
Gnossiennes: No. 1. Lent	Erik Satie, Marcel Worms	Satie: Works for Piano
When It's Sleepytime Down South	Wynton Marsalis	Standards & Ballads
Some of These Days	Bobby Darin	That's All
Bye Bye Love	The Everly Brothers	The Very Best of The Everly Brothers
Concerto for Strings in G Major, RV 151, "Alla Rustica": I. Presto	Antonio Vivaldi, Takako Nishizaki, Capella Istropolitana, Stephen Gunzenhauser	Vivaldi: 4 Seasons (The) / Concerto Alla Rustica
Coal Not Dole	Norma Waterson	Voice & Vision
What A Feeling	Irene Cara	What A Feeling
My Sweet Lord	George Harrison	All Things Must Pass (Remastered)
Be My Baby	The Ronettes	Be My Baby: The Very Best of The Ronettes
Digital	Joy Division	The Best Of
I'm In The Mood For Love	Julie London	The Best Of Julie London
Sunshine Day	Osibisa	The Best Of Osibisa
Main Title (Blow-Up)	Herbie Hancock	Blow-Up: Original Motion Picture Soundtrack
Piece of My Heart	Big Brother & The Holding Company, Janis Joplin	Cheap Thrills
I Wished On The Moon	Ella Fitzgerald	The Complete Decca Singles Vol. 4: 1950-1955
Fly Me To The Moon (In Other Words)	Julie London	The End Of The World
Crazy - Single Version	Patsy Cline, The Jordanaires	Gold
Maybe	Janis Joplin	I Got Dem Ol' Kozmic Blues Again Mama!
Don't Let Me Be Misunderstood	Santa Esmeralda	Kill Bill Vol. 1 Original Soundtrack (PA Version)
(You Make Me Feel Like) A Natural Woman	Aretha Franklin	Lady Soul (With Bonus Selections)
Is That All There Is - Remastered 2002	Peggy Lee	Mirrors
Alaska	Maggie Rogers	Now That The Light Is Fading
One Step Beyond	Madness	One Step Beyond
Cry Baby	Janis Joplin	Pearl (Legacy Edition)
Me and Bobby McGee	Janis Joplin	Pearl (Legacy Edition)
Trust Me	Janis Joplin	Pearl (Legacy Edition)
Cry Baby - Alternate Version	Janis Joplin	Pearl (Legacy Edition)
The Morning of Our Lives	Jonathan Richman & The Modern Lovers	Roadrunner: The Beserkley Collection
Somebody to Love	Jefferson Airplane	Surrealistic Pillow
I Believe (When I Fall In Love It Will Be Forever)	Stevie Wonder	Talking Book
Redemption Song	Johnny Cash, Joe Strummer	Unearthed
San Francisco	Foxygen	We Are the 21st Century Ambassadors of Peace & Magic
Always The Sun - Sunny Side Up Mix	The Stranglers	10
Bye Bye Baby	Bay City Rollers	70s 100 Hits
The Mercy Seat	Johnny Cash	American III: Solitary Man
I Say a Little Prayer	Aretha Franklin	Aretha Now
Wrecking Ball	Miley Cyrus	Bangerz (Deluxe Version)
Easy Living	Billie Holiday	Billie Holiday Love Songs
Mr. Sandman	The Chordettes	The Chordettes
Let It Happen	Tame Impala	Currents
The Less I Know The Better	Tame Impala	Currents
Darklands	The Jesus and Mary Chain	Darklands (Expanded Version)
Amandoti	CCCP – Fedeli Alla Linea	Epica Etica Etnica Pathos (2008 Remastered Edition)
Positively 4th Street - Single Version	Bob Dylan	The Essential Bob Dylan
I'll Be Around	Yo La Tengo	Fade
Free Tibet - Vini Vici Remix	Hilight Tribe, Vini Vici	Free Tibet (Vini Vici Remix)
Blue Skies	Ella Fitzgerald, Harry "Sweets" Edison	Get Happy!
Clint Eastwood	Gorillaz	Gorillaz
Musica ricercata: No. 7, Cantabile, molto legato	György Ligeti, Pierre-Laurent Aimard	György Ligeti Edition, Vol. 3
Rinaldo, HWV 7a / Act 2: "Lascia ch'io pianga","George Frideric Handel, Cecilia Bartoli, Academy of Ancient Music, Christopher Hogwood	Handel: Rinaldo (Original 1711 Version)	2
Hunger	Florence + The Machine	High As Hope
I'll Be Your Pilot	Belle & Sebastian	I'll Be Your Pilot
New York City Cops	The Strokes	Is This It
Let's Go To Bed	The Cure	Japanese Whispers
Knights In White Satin - Part 1	Giorgio Moroder	Knights In White Satin
La fine del mondo	Anastasio	La fine del mondo
Feels Like We Only Go Backwards	Tame Impala	Lonerism
Mica Van Gogh	Caparezza	Museica
The Sound Of Someone You Love Who's Going Away And It Doesn't Matter - 2008 Digital Remaster	Penguin Cafe Orchestra	Music From The Penguin Cafe
My Favorite Things	John Coltrane	My Favorite Things (Deluxe Edition)
Rather Be (feat. Jess Glynne)	Clean Bandit, Jess Glynne	New Eyes
My Girl	Madness	One Step Beyond (35th Anniversary)
Vier Stücke für Xylophon: Gassenhauer nach Hans Neusiedler (1536) für Sopran-, Altxylophon, Castagnetten, kleine Trommel, Schellentrommel und Pauken, Musik für Kinder III, Nr. 15, 1952	Gunild Keetman, Carl Orff, Karl Peinkofer Percussion Ensemble	Orff-Schulwerk, Vol. 1: Musica Poetica
Orff: Carmina Burana: Introduction, Fortuna Imperatrix Mundi, No. 1 "O Fortuna" (Chorus)	Carl Orff, Janice Watson, James Bowman, Donald Maxwell, Bournemouth Symphony Chorus, Waynflete Singers, Highcliffe Junior Choir, Bournemouth Symphony Orchestra, David Hill	Orff: Carmina Burana
Orff: Carmina Burana, Pt. 3: "In trutina" (Soprano)	Carl Orff, David Hill, Janice Watson, Bournemouth Symphony Orchestra	Orff: Carmina Burana
Love Is All Around - From "Four Weddings And A Funeral","Wet Wet Wet	Picture This (20th Anniversary Edition)	1
